seed,policy,round,observed,stable_found,precision,pool_stable_prevalence,discovery_acceleration_factor,stable_recall
29,random,2,900,489,0.5433333333333333,0.56968,0.9537518138838179,0.03433506529981744
29,random,3,1150,635,0.5521739130434783,0.56968,0.9692703149899563,0.04458643448953799
29,random,4,1400,784,0.56,0.56968,0.983008004493751,0.05504844825165005
29,random,5,1650,905,0.5484848484848485,0.56968,0.962794636435979,0.06354444600477462
29,random,6,1900,1036,0.5452631578947369,0.56968,0.957139372796547,0.07274259233253756
29,random,7,2150,1182,0.5497674418604651,0.56968,0.9650460642123037,0.08299396152225812
29,random,8,2400,1325,0.5520833333333334,0.56968,0.9691113139540328,0.09303468613958714
29,uncertainty,0,400,212,0.53,0.56968,0.9303468613958714,0.014885549782333942
29,uncertainty,1,650,351,0.54,0.56968,0.9479005757618313,0.02464541496980761
29,uncertainty,2,900,494,0.5488888888888889,0.56968,0.9635038774204622,0.034686139587136636
29,uncertainty,3,1150,618,0.5373913043478261,0.56968,0.943321345927233,0.043392781912652716
29,uncertainty,4,1400,739,0.5278571428571428,0.56968,0.9265853511745942,0.051888779665777277
29,uncertainty,5,1650,858,0.52,0.56968,0.9127931470299117,0.06024434770397416
29,uncertainty,6,1900,986,0.5189473684210526,0.56968,0.9109453876229684,0.0692318494593456
29,uncertainty,7,2150,1111,0.5167441860465116,0.56968,0.9070779842130875,0.07800870664232551
29,uncertainty,8,2400,1239,0.51625,0.56968,0.9062105041426767,0.08699620839769695
29,greedy,0,400,212,0.53,0.56968,0.9303468613958714,0.014885549782333942
29,greedy,1,650,383,0.5892307692307692,0.56968,1.034318861871172,0.02689229040865047
29,greedy,2,900,595,0.6611111111111111,0.56968,1.1604955608606782,0.04177784019098441
29,greedy,3,1150,814,0.7078260869565217,0.56968,1.2424976951209832,0.05715489397556523
29,greedy,4,1400,1036,0.74,0.56968,1.298974863081028,0.07274259233253756
29,greedy,5,1650,1264,0.7660606060606061,0.56968,1.3447209065801962,0.08875157983429294
29,greedy,6,1900,1490,0.7842105263157895,0.56968,1.37658075817264,0.10462013762112063
29,greedy,7,2150,1707,0.793953488372093,0.56968,1.3936832754741137,0.11985676169077376
29,greedy,8,2400,1919,0.7995833333333333,0.56968,1.4035657445115386,0.13474231147310772
29,ucb,0,400,212,0.53,0.56968,0.9303468613958714,0.014885549782333942
29,ucb,1,650,380,0.5846153846153846,0.56968,1.0262171475484214,0.02668164583625895
29,ucb,2,900,605,0.6722222222222223,0.56968,1.179999687933967,0.042479988765622805
29,ucb,3,1150,794,0.6904347826086956,0.56968,1.2119694962236618,0.05575059682628844
29,ucb,4,1400,1007,0.7192857142857143,0.56968,1.2626135976086827,0.07070636146608622
29,ucb,5,1650,1231,0.7460606060606061,0.56968,1.3096134778482764,0.08643448953798624
29,ucb,6,1900,1453,0.7647368421052632,0.56968,1.3423972091441918,0.10202218789495858
29,ucb,7,2150,1661,0.7725581395348837,0.56968,1.3561264912492694,0.11662687824743716
29,ucb,8,2400,1890,0.7875,0.56968,1.3823550063193373,0.13270608060665637
29,diverse_ucb,0,400,212,0.53,0.56968,0.9303468613958714,0.014885549782333942
29,diverse_ucb,1,650,394,0.6061538461538462,0.56968,1.064025147721258,0.027664653840752704
29,diverse_ucb,2,900,606,0.6733333333333333,0.56968,1.1819501006412958,0.042550203623086646
29,diverse_ucb,3,1150,829,0.7208695652173913,0.56968,1.2653938442939745,0.05820811683752282
29,diverse_ucb,4,1400,1056,0.7542857142857143,0.56968,1.3240515978895422,0.07414688948181435
29,diverse_ucb,5,1650,1281,0.7763636363636364,0.56968,1.3628065516845183,0.0899452324111782
29,diverse_ucb,6,1900,1496,0.7873684210526316,0.56968,1.3821240363934695,0.10504142676590367
29,diverse_ucb,7,2150,1716,0.7981395348837209,0.56968,1.4010313419528875,0.12048869540794832
29,diverse_ucb,8,2400,1941,0.80875,0.56968,1.4196566493470018,0.13628703833731218
41,random,0,400,227,0.5675,0.56772,0.9996124850278306,0.01599379976044529
41,random,1,650,359,0.5523076923076923,0.56772,0.9728522727888612,0.025294159092510392
41,random,2,900,494,0.5488888888888889,0.56772,0.9668302840993603,0.03480589022757698
41,random,3,1150,621,0.54,0.56772,0.9511731135066582,0.04375396322130628
41,random,4,1400,760,0.5428571428571428,0.56772,0.9562057754828839,0.0535475234270415
41,random,5,1650,911,0.5521212121212121,0.56772,0.9725238006785248,0.06418657084478264
41,random,6,1900,1055,0.5552631578947368,0.56772,0.9780581235375481,0.07433241738885366
41,random,7,2150,1207,0.5613953488372093,0.56772,0.9888595590030461,0.08504192207426196
41,random,8,2400,1342,0.5591666666666667,0.56772,0.9849338875971724,0.09455365320932854
41,uncertainty,0,400,227,0.5675,0.56772,0.9996124850278306,0.01599379976044529
41,uncertainty,1,650,372,0.5723076923076923,0.56772,1.0080809066224412,0.02621010357218347
41,uncertainty,2,900,504,0.56,0.56772,0.9864017473402382,0.03551046290424857
