top_k,top_on_hull_rate,random_on_hull_rate_mean,random_on_hull_rate_std,on_hull_daf,top_near_hull_rate,random_near_hull_rate_mean,near_hull_daf,top_mean_decomposition_energy,random_mean_decomposition_energy
100,0.97,0.8734999999999999,0.0351700820779087,1.1154724211532596,1.0,0.98555,1.0161295020607897,-0.12879199999999996,-0.04376585
500,0.92,0.86908,0.014564829946030413,1.0579738427432979,1.0,0.98446,1.0161295020607897,-0.080064,-0.043464655
1000,0.917,0.870165,0.009796306092876376,1.0545239280387002,1.0,0.9840800000000001,1.0161295020607897,-0.07224959999999998,-0.04331282350000001
5000,0.9374,0.8697079999999999,0.004551694808325873,1.0779833480299645,0.9988,0.9842399999999999,1.0149101466583166,-0.06064476,-0.0432709996
10000,0.929,0.869717,0.003333266314234141,1.068323586857091,0.9987,0.984057,1.0148085337081105,-0.05864948,-0.04331731135
